########## noise=0.05, 10 seeds x 40 trials
                  10%       0.4107     0.7370   +0.3263 37/400         spread=0.1367 [+0.2660,+0.4026]  CLEARS
                  20%       0.2699     0.4676   +0.1977 63/400         spread=0.1290 [+0.1298,+0.2588]  CLEARS
                  35%       0.1878     0.2774   +0.0896 92/400         spread=0.0861 [+0.0521,+0.1382]  CLEARS
                  50%       0.1475     0.1863   +0.0388 133/400         spread=0.0478 [+0.0141,+0.0619]  WITHIN FLOOR
                  80%       0.1065     0.1132   +0.0067 170/400         spread=0.0104 [+0.0016,+0.0120]  WITHIN FLOOR


########## noise=0.10, 10 seeds x 40 trials
                  10%       0.4460     0.6248   +0.1787 74/400         spread=0.0806 [+0.1337,+0.2142]  CLEARS
                  20%       0.3114     0.4011   +0.0897 109/400         spread=0.0659 [+0.0601,+0.1261]  CLEARS
                  35%       0.2325     0.2762   +0.0437 155/400         spread=0.0678 [+0.0160,+0.0838]  WITHIN FLOOR
                  50%       0.1944     0.2090   +0.0146 201/400         spread=0.0275 [+0.0032,+0.0307]  WITHIN FLOOR
                  80%       0.1561     0.1511   -0.0050 302/400         spread=0.0073 [-0.0074,-0.0001]  WITHIN FLOOR


########## noise=0.20, 10 seeds x 40 trials
                  10%       0.5279     0.6282   +0.1003 117/400         spread=0.0770 [+0.0649,+0.1419]  CLEARS
                  20%       0.4126     0.4441   +0.0315 173/400         spread=0.0526 [+0.0064,+0.0591]  WITHIN FLOOR
                  35%       0.3376     0.3493   +0.0117 206/400         spread=0.0517 [-0.0069,+0.0448]  WITHIN FLOOR
                  50%       0.2966     0.2914   -0.0052 263/400         spread=0.0120 [-0.0106,+0.0015]  WITHIN FLOOR
                  80%       0.2514     0.2402   -0.0112 350/400         spread=0.0069 [-0.0147,-0.0078]  CLEARS


